reviewer_point,scripts,response
"Limited scale DS01/DS03, 62 sessions/7 runs","01,02,09,31,32,39,58,59","Group-level source splits, run-level target reporting, grouped CV, exact paired tests and bootstrap uncertainty. This cannot create new machines, so the scale limitation remains explicit."
1 Hz evaluation,"03,57",Data audit plus full retrain/evaluate sampling-rate sensitivity at 0.5/1/2/5 Hz while preserving physical context/horizon durations.
10/17 transfer channels,"07,12,34,49,50","Flexible global sensor vocabulary, schema masks/dropout/consistency, 17→10 and more severe leave-sensor-out tests."
JEPA latent loss weight,15,Audited latent-loss weight sweep.
Per-horizon vs pooled VICReg,16,none/pooled/per-horizon anti-collapse comparison.
With/without LayerNorm,17,Direct latent-space LayerNorm on/off plus separate Transformer pre/post norm ablation.
Target aggregation / EMA choices,"18,19",Per-horizon vs pooled target objective and EMA sweeps.
No masked reconstruction baseline,"21-26,29","MAE plus SimMTM/PatchFormer/EMIT/MMR/LoMaR-inspired implementations, and identical split export for official repositories. Style baselines are not mislabeled as official reproductions."
Limited non-JEPA dynamics baselines,"20,27,28","DLinear, MLP, GRU, LSTM, TCN, Transformer, TSMixer, PatchTST-like, iTransformer-like, RSSM and capacity sweeps."
n=7 statistical power,"09,32,39,59","Runs are independent units. Exact sign-flip, Wilcoxon, bootstrap CI and per-run effects. No window-level pseudo-replication."
Aggregate z-RMSE obscures channels,"32,51,56","Per-channel, per-horizon and per-run tables in z-units and physical units."
Source normalizer implications,"04,08,33",Train-only normalizer audit plus source-zscore/source-robust/target-support/target-oracle diagnostic sensitivity.
Variable sensor configurations / SLIP connection,"07,12,34,49,50",Sensor-ID flexible encoder with presence/schema tokens and schema-consistency objective.
Action conditioning validity,"13,37,38",No-action/shuffled-action controls and world-model planning experiment.
Random method search can leak target,40-45,20 unique methods x 3 seeds selected on source validation only. Best method is hashed/locked before the first DS03 test.
Need a defensible novelty,"12,37,46-50","Schema-Adaptive Action-Conditioned JEPA: cross-machine partial-schema dynamics, action identifiability, few-shot/online adaptation and planning utility."
